RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2195,1968,15,0,2200,270,2000,0,0,
2196,1969,15,0,2200,270,2000,0,0,
2194,1968,18,0,2200,270,2000,0,0,
2193,1969,18,0,2200,270,2000,0,0,
2194,1968,18,0,2200,270,2000,0,0,
2193,1969,18,0,2200,270,2000,0,0,
2193,1969,18,0,2200,270,2000,0,0,
2193,1968,21,0,2200,270,2000,0,0,
2194,1968,21,0,2200,270,2000,0,0,
2194,1969,21,0,2200,270,2000,0,0,
2193,1969,18,0,2200,270,2000,0,0,
2192,1969,18,0,2200,270,2000,0,0,
2191,1969,27,0,2200,270,2000,0,0,
2190,1969,27,0,2200,270,2000,0,0,
2192,1968,27,0,2200,270,2000,0,0,
2193,1968,24,0,2200,270,2000,0,0,
2193,1968,24,0,2200,270,2000,0,0,
2193,1969,24,0,2200,270,2000,0,0,
2193,1969,24,0,2200,270,2000,0,0,
2192,1968,24,0,2200,270,2000,0,0,
2192,1969,24,0,2200,270,2000,0,0,
2194,1970,24,0,2200,270,2000,0,0,
2193,1970,24,0,2200,270,2000,0,0,
2193,1969,21,0,2200,270,2000,0,0,
2193,1968,21,0,2200,270,2000,0,0,
2192,1969,24,0,2200,270,2000,0,0,
2193,1965,24,0,2200,270,2000,0,0,
2195,1964,24,0,2200,270,2000,0,0,
2195,1968,15,0,2200,270,2000,0,0,
2194,1969,15,0,2200,270,2000,0,0,
2194,1971,18,0,2200,270,2000,0,0,
2194,1970,18,0,2200,270,2000,0,0,
2195,1969,18,0,2200,270,2000,0,0,
2194,1968,18,0,2200,270,2000,0,0,
2195,1967,18,0,2200,270,2000,0,0,
2194,1967,18,0,2200,270,2000,0,0,
2194,1967,18,0,2200,270,2000,0,0,
2194,1968,18,0,2200,270,2000,0,0,
2194,1968,15,0,2200,270,2000,0,0,
2194,1968,15,0,2200,270,2000,0,0,
2194,1969,15,0,2200,270,2000,0,0,
2195,1970,18,0,2200,270,2000,0,0,
2195,1970,18,0,2200,270,2000,0,0,
2195,1969,15,0,2200,270,2000,0,0,
2195,1967,15,0,2200,270,2000,0,0,
2193,1968,15,0,2200,270,2000,0,0,
2195,1968,21,0,2200,270,2000,0,0,
2195,1969,21,0,2200,270,2000,0,0,
2195,1968,12,0,2200,270,2000,0,0,
2196,1969,12,0,2200,270,2000,0,0,
2197,1969,12,0,2200,270,2000,0,0,
2196,1969,9,0,2200,270,2000,0,0,
2195,1969,9,0,2200,270,2000,0,0,
2195,1970,15,0,2200,270,2000,0,0,
2194,1972,15,0,2200,270,2000,0,0,
2194,1971,15,0,2200,270,2000,0,0,
2195,1969,18,0,2200,270,2000,0,0,
2194,1969,18,0,2200,270,2000,0,0,
2194,1971,18,0,2200,270,2000,0,0,
2194,1972,18,0,2200,270,2000,0,0,
2195,1972,18,0,2200,270,2000,0,0,
